an20,loss_value,constraint_value
0.5,-39.000003814697266,-0.6426054224664097
0.5204081632653061,-39.0,-0.6414666371530066
0.5408163265306123,-39.0,-0.6403191480577934
0.5612244897959183,-39.0,-0.6391631143169298
0.5816326530612245,-38.999996185302734,-0.6379986847764549
0.6020408163265306,-39.0,-0.6368260140613402
0.6224489795918368,-39.0,-0.6356452378757758
0.6428571428571428,-39.0,-0.6344564978719587
0.6632653061224489,-39.0,-0.6332599205967908
0.6836734693877551,-39.0,-0.6320556347561559
0.7040816326530612,-39.0,-0.6308437587808655
0.7244897959183674,-39.0,-0.6296244169124234
0.7448979591836735,-39.0,-0.6283977199753685
0.7653061224489796,-39.0,-0.6271637766804274
0.7857142857142857,-39.0,-0.6259226922439104
0.8061224489795917,-39.0,-0.624674569150187
0.8265306122448979,-39.0,-0.6234195020146996
0.846938775510204,-39.0,-0.622157592639293
0.8673469387755102,-39.0,-0.620888928583756
0.8877551020408163,-39.0,-0.6196135985129991
0.9081632653061225,-34.29196548461914,-0.6183316868329376
0.9285714285714286,-33.61725997924805,-0.6170432765479089
0.9489795918367346,-35.097503662109375,-0.6157484430139275
0.9693877551020408,-35.78139877319336,-0.6144472703413405
0.9897959183673469,-36.16130828857422,-0.6131398288277925
1.010204081632653,-36.397850036621094,-0.6118261896895375
1.030612244897959,-36.54069900512695,-0.610506422659264
1.0510204081632653,-36.6725959777832,-0.6091805937774026
1.0714285714285714,-36.744598388671875,-0.60784876807292
1.0918367346938775,-36.73965072631836,-0.6178131294495983
1.1122448979591835,-36.832801818847656,-0.6330986811890578
1.1326530612244898,-36.879791259765625,-0.648164243826027
1.1530612244897958,-37.22560119628906,-0.6630248625798669
1.1734693877551021,-37.15560531616211,-0.6776945987132659
1.193877551020408,-37.83425521850586,-0.6921862963133983
1.2142857142857142,-37.89805221557617,-0.7065117808222394
1.2346938775510203,-37.94046401977539,-0.7206819558084651
1.2551020408163265,-37.97108459472656,-0.7347068930621876
1.2755102040816326,-37.99384307861328,-0.7485959133771891
1.2959183673469385,-38.0109977722168,-0.7623576561761178
1.316326530612245,-38.02461242675781,-0.7760001483749708
1.3367346938775508,-38.03509521484375,-0.7895308584688017
1.3571428571428572,-38.04351806640625,-0.8029567524978087
1.3775510204081631,-38.05002975463867,-0.8162844179976876
1.3979591836734693,-38.05500793457031,-0.8295197967101127
1.4183673469387754,-38.05900573730469,-0.8426686902522955
1.4387755102040816,-38.06192398071289,-0.8557364850100302
1.4591836734693877,-36.881248474121094,-0.8687282608099169
1.4795918367346939,-38.065589904785156,-0.8816488234287148
1.5,-36.70362854003906,-0.8945027296790817
