train_X_1,train_X_2,train_X_3,train_X_4,train_X_5,train_X_6,train_X_7,train_X_8,train_X_9,train_X_10,train_X_11,train_Y,train_C1
0.43919578194618225,0.9047176241874695,0.7909500598907471,0.86468505859375,0.5595578551292419,0.6296772360801697,0.5981021523475647,0.08550168573856354,0.9213714003562927,0.26412853598594666,0.07221835851669312,-39.0,0.11538799215369022
0.7772715091705322,0.5664189457893372,0.5291752219200134,0.6586118936538696,0.08269387483596802,0.28492283821105957,0.7657395005226135,0.588344156742096,0.18243950605392456,0.9490092992782593,0.7645093202590942,-39.0,-0.17977653406530153
0.0951000452041626,0.05877906456589699,0.46452003717422485,0.011541558429598808,0.7964550852775574,0.9073950052261353,0.35831624269485474,0.49743854999542236,0.6370344161987305,0.22564557194709778,0.4245731830596924,-39.0,-0.337981560494065
0.21062621474266052,0.6739470362663269,0.10107294470071793,0.16674619913101196,0.9145541787147522,0.5404966473579407,0.9081600904464722,0.7088167667388916,0.01407664455473423,0.6918938159942627,0.8780604600906372,-39.0,-0.18211028224178888
0.3666497468948364,0.2658765912055969,0.6457301378250122,0.9571458101272583,0.683523952960968,0.7622748613357544,0.16739703714847565,0.8742421865463257,0.2942022383213043,0.7939749956130981,0.6172584891319275,-38.49232864379883,-0.1137389609280808
0.42672393615694004,0.242159504821319,0.677092227749236,1.0,0.6690722151001157,0.7426411166626138,0.06586794395317354,1.0,0.137251266413696,0.9980005693409493,0.7270872636302464,-38.48787307739258,-0.10539272690310403
0.0,0.0,0.0,1.0,0.0,1.0,0.10337010001167637,1.0,0.0,0.0,1.0,-39.0,-0.13104657507971146
0.22041982221807752,0.0,0.6342462647284898,1.0,0.7534215987167422,0.9257295179828376,0.03352099542739782,0.9977595475512917,0.43925197660494303,0.5929491842268101,0.5473201634895835,-38.45866012573242,-0.10217703989842082
0.7820606256260971,0.39103225389921054,0.8999255813024121,1.0,0.8394088506322102,0.43776551976351136,0.12323178008577305,0.9609632006373243,0.0,1.0,0.8903609238144076,-38.24713134765625,-0.12985901319576768
1.0,0.6299588101944686,1.0,1.0,0.9504049307251633,0.005906051470149398,0.17802249268612763,0.985356645721597,0.0,1.0,1.0,-38.27950668334961,-0.11185584402195796
1.0,0.0,1.0,1.0,0.8870949303425183,1.0,0.0,0.9144572584250771,0.0,1.0,1.0,-38.224449157714844,-0.16294095305916362
1.0,0.24158455502597082,1.0,1.0,0.8753824281997761,1.0,1.0,0.9331560949469352,0.0,1.0,1.0,-38.03251647949219,-0.19421955046320702
1.0,0.0,0.0,1.0,0.8971522930279445,1.0,1.0,0.8623950713893997,0.0,1.0,1.0,-38.962425231933594,-0.2672239090493732
0.31728288340785993,0.0,1.0,1.0,0.9345853088724296,1.0,1.0,0.9497229469906178,0.3013693839296137,0.3243284437746446,0.4467917479638456,-37.69502639770508,-0.22666175943886677
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17825681156415515,0.0,0.04013017315107373,-39.0,0.13523351336706907
0.24701239778022985,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3499325957414909,0.39982723808975856,0.5896520755198617,-37.59440994262695,-0.2163796290571655
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5708200419795892,-38.11289596557617,-0.22752262016256525
0.023738038033871242,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012953255354539934,0.0,0.5905196290833173,-39.0,0.07277509342428784
1.0,0.0,1.0,1.0,0.9134472892274548,1.0,1.0,0.949860533426564,0.0,0.4425451453717322,0.16056561254850346,-38.272216796875,-0.012051856257055814
0.18400868547431168,0.0,1.0,1.0,0.5397539062437705,1.0,1.0,0.9031587862858635,0.3412853725931852,0.42489996029963917,0.5044857690130884,-37.493431091308594,-0.19838626048466734
